com.samsung.shealth.tracker.pedometer_day_summary,6311013,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,11874,f3bf31c4-9033-4880-be4c-1c36394cc3ae.binning_data.json,5654706,12800,,926,2020-08-05 22:00:11.808,com.sec.android.app.shealth,2020-07-30 22:30:25.775,f3bf31c4-9033-4880-be4c-1c36394cc3ae.source_info.json,1.7657652,9984.883,549.628,10948,VfS0qUERdZ,com.sec.android.app.shealth,0,f3bf31c4-9033-4880-be4c-1c36394cc3ae.achievement.json,f3bf31c4-9033-4880-be4c-1c36394cc3ae,1596153600000,
,4621,fe99d031-1d4f-4cef-9227-571562511294.binning_data.json,2088944,12800,,858,2020-08-05 22:00:09.603,com.sec.android.app.shealth,2020-08-05 22:00:09.603,,1.9679266,4110.8896,235.63583,3763,m3h9nVfJDO,com.sec.android.app.shealth,0,fe99d031-1d4f-4cef-9227-571562511294.achievement.json,fe99d031-1d4f-4cef-9227-571562511294,1596585600000,
,9478,01a7bbd9-757a-4411-ac48-29a346d653d8.binning_data.json,4922463,12800,,268,2020-08-06 22:00:08.012,com.sec.android.app.shealth,2020-08-06 22:00:08.012,,1.4609188,7191.3193,446.6764,9210,BPYUPn3BBR,com.sec.android.app.shealth,0,01a7bbd9-757a-4411-ac48-29a346d653d8.achievement.json,01a7bbd9-757a-4411-ac48-29a346d653d8,1596672000000,
,10478,a3a11b9d-9f8c-430e-98d7-f325e72d935f.binning_data.json,5221759,12800,,412,2020-08-06 21:33:45.828,com.sec.android.app.shealth,2020-08-05 22:01:10.233,a3a11b9d-9f8c-430e-98d7-f325e72d935f.source_info.json,1.6089007,8401.292,479.82126,10066,VfS0qUERdZ,com.sec.android.app.shealth,0,a3a11b9d-9f8c-430e-98d7-f325e72d935f.achievement.json,a3a11b9d-9f8c-430e-98d7-f325e72d935f,1596672000000,
,11431,390ef693-d761-47f5-b6cc-80735f68be5f.binning_data.json,5644637,12800,,729,2020-08-06 22:00:06.771,com.sec.android.app.shealth,2020-07-31 22:21:58.670,390ef693-d761-47f5-b6cc-80735f68be5f.source_info.json,1.6482967,9304.037,523.49146,10702,VfS0qUERdZ,com.sec.android.app.shealth,0,390ef693-d761-47f5-b6cc-80735f68be5f.achievement.json,390ef693-d761-47f5-b6cc-80735f68be5f,1596240000000,
,5110,9b0cc067-2747-4c48-a283-6b46232807df.binning_data.json,2366016,12800,,245,2020-08-06 22:00:04.133,com.sec.android.app.shealth,2020-08-06 22:00:04.133,,1.8286273,4326.5625,227.65594,4865,m3h9nVfJDO,com.sec.android.app.shealth,0,9b0cc067-2747-4c48-a283-6b46232807df.achievement.json,9b0cc067-2747-4c48-a283-6b46232807df,1596672000000,
,9360,26dc5939-ad40-4125-aa20-d10e0607819b.binning_data.json,4659142,12800,,137,2020-08-07 21:50:28.581,com.sec.android.app.shealth,2020-08-06 22:03:34.042,26dc5939-ad40-4125-aa20-d10e0607819b.source_info.json,1.5946436,7429.672,397.94955,9223,VfS0qUERdZ,com.sec.android.app.shealth,0,26dc5939-ad40-4125-aa20-d10e0607819b.achievement.json,26dc5939-ad40-4125-aa20-d10e0607819b,1596758400000,
,17295,16b85cf7-c6a9-491f-a86d-384aa5c26f5b.binning_data.json,8311082,12800,,1066,2020-08-07 22:00:06.838,com.sec.android.app.shealth,2020-08-01 22:35:09.323,16b85cf7-c6a9-491f-a86d-384aa5c26f5b.source_info.json,1.7070842,14187.718,774.07874,16229,VfS0qUERdZ,com.sec.android.app.shealth,0,16b85cf7-c6a9-491f-a86d-384aa5c26f5b.achievement.json,16b85cf7-c6a9-491f-a86d-384aa5c26f5b,1596326400000,
,4350,0b08ac7d-d044-4562-a9b9-f79d62294457.binning_data.json,2011894,12800,,184,2020-08-07 22:00:03.776,com.sec.android.app.shealth,2020-08-07 22:00:03.776,,1.8050522,3631.5745,188.2597,4166,m3h9nVfJDO,com.sec.android.app.shealth,0,0b08ac7d-d044-4562-a9b9-f79d62294457.achievement.json,0b08ac7d-d044-4562-a9b9-f79d62294457,1596758400000,
,8551,f70b46c5-06da-4cf7-9ead-9c591b2f50cd.binning_data.json,4448149,12800,,36,2020-08-07 22:00:07.640,com.sec.android.app.shealth,2020-08-07 22:00:07.640,,1.4707216,6541.9893,362.18494,8515,BPYUPn3BBR,com.sec.android.app.shealth,0,f70b46c5-06da-4cf7-9ead-9c591b2f50cd.achievement.json,f70b46c5-06da-4cf7-9ead-9c591b2f50cd,1596758400000,
