com.samsung.shealth.rewards,6311013,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-09-19 09:35:36.026,,,,2020-09-20 15:13:11.968,2020-09-19 09:35:36.654,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":263,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-19 09:35:36.026,de748c66-cb3f-45a0-a6cc-acc01ee2d440,0,
,2020-08-30 11:23:12.952,,,,2020-08-31 15:12:07.079,2020-08-30 11:23:13.053,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":156,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-30 11:23:12.952,a32fe0d9-3efb-40a9-b9db-a3f65099a377,0,
,2020-09-22 14:33:11.875,,,,2020-09-23 14:48:34.096,2020-09-22 14:33:11.941,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":90,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-22 14:33:11.875,5c5f5b69-d8f1-4f73-bbfb-fb1e89f5ba6c,0,
,2020-09-12 21:15:57.831,,,,2020-09-12 21:15:57.875,2020-09-12 20:15:14.246,,,goal_activity_reward_most_active_day,UTC+0200,"{""mIsCompleted"":false,""mValue"":321,""mValue2"":0}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-12 20:15:12.875,f5363c06-2cf1-4a16-aaee-ca79a24840cf,1,
,2020-09-12 09:30:39.372,,,,2020-09-13 16:15:10.474,2020-09-12 09:30:39.427,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":321,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-12 09:30:39.372,e6c22daf-8077-4223-8f0b-5b72a89387e3,0,
,2020-08-25 12:49:33.101,,,,2020-08-26 08:15:16.651,2020-08-25 12:49:33.190,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":110,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-25 12:49:33.101,62e40e38-435f-4575-84e8-8dd37c44ef33,0,
,2020-09-10 12:36:00.938,,,,2020-09-11 12:30:12.126,2020-09-10 12:36:00.985,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":163,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-10 12:36:00.938,79447fee-62bf-40b8-9b56-fc42463db403,0,
,2020-09-11 12:30:12.051,,,,2020-09-12 09:30:39.411,2020-09-11 12:30:12.229,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":170,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-11 12:30:12.051,bc0671ee-25d6-40a9-85fe-17cafba38368,0,
,2020-09-13 16:15:10.431,,,,2020-09-14 14:49:01.198,2020-09-13 16:15:10.600,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":137,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-13 16:15:10.431,bf74e765-36d2-408f-9717-26204932d3a2,0,
,2020-08-24 14:15:06.528,,,,2020-08-25 12:49:33.184,2020-08-24 14:15:06.693,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":152,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-24 14:15:06.528,7e3b1d54-b719-450f-9a8a-9878c8c4cbd3,0,
