com.samsung.shealth.report,6311013,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Warsaw,1649023200000,2022-04-11 13:17:51.758,2022-04-11 13:17:45.226,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,b1a40089-10a6-452e-9cb6-bd177afb0d64,b1a40089-10a6-452e-9cb6-bd177afb0d64.compressed_content.json,
Europe/Warsaw,1649628000000,2022-04-20 16:36:59.432,2022-04-18 13:44:08.337,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,1fe1303c-0570-4978-a37e-99387d3232ef,1fe1303c-0570-4978-a37e-99387d3232ef.compressed_content.json,
Europe/Warsaw,1650837600000,2022-05-06 19:33:05.498,2022-05-06 19:33:01.357,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,e8014bab-d4f3-422a-b67d-f532f33551d2,e8014bab-d4f3-422a-b67d-f532f33551d2.compressed_content.json,
Europe/Warsaw,1651442400000,2022-05-09 13:59:01.553,2022-05-09 13:59:00.122,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,5254ba85-f848-410a-9585-8880741a4e18,5254ba85-f848-410a-9585-8880741a4e18.compressed_content.json,
Europe/Warsaw,1652047200000,2022-05-16 12:35:15.162,2022-05-16 12:35:11.492,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,0007208f-7ee4-4a29-aeb5-c6074060589e,0007208f-7ee4-4a29-aeb5-c6074060589e.compressed_content.json,
Europe/Warsaw,1652652000000,2022-05-23 13:02:31.782,2022-05-23 13:02:26.880,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,b4702ba1-984e-47b7-8b23-5e44e2046c91,b4702ba1-984e-47b7-8b23-5e44e2046c91.compressed_content.json,
Europe/Warsaw,1653256800000,2022-05-30 13:08:58.053,2022-05-30 13:08:54.802,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,b940bef2-0000-4fb6-9b28-55b9dadf47d9,b940bef2-0000-4fb6-9b28-55b9dadf47d9.compressed_content.json,
Europe/Warsaw,1653861600000,2022-06-08 14:36:38.767,2022-06-08 14:36:34.936,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,5b7f9e9b-5804-4ebe-937a-0630b85a1909,5b7f9e9b-5804-4ebe-937a-0630b85a1909.compressed_content.json,
Europe/Warsaw,1654466400000,2022-06-13 13:18:34.376,2022-06-13 13:18:30.523,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,b6acd95e-9f34-470a-94c3-b2c8f9ab405c,b6acd95e-9f34-470a-94c3-b2c8f9ab405c.compressed_content.json,
Europe/Warsaw,1655071200000,2022-06-20 12:45:42.360,2022-06-20 12:45:38.735,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,65fdd737-8c7a-4f0e-b55f-b99d54b61cae,65fdd737-8c7a-4f0e-b55f-b99d54b61cae.compressed_content.json,
Europe/Warsaw,1655676000000,2022-06-29 11:42:22.825,2022-06-27 13:14:27.460,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,01c295a7-35aa-4780-a132-7d9f105f2eca,01c295a7-35aa-4780-a132-7d9f105f2eca.compressed_content.json,
Europe/Warsaw,1656280800000,2022-07-05 08:06:51.100,2022-07-05 08:06:44.749,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,2d83f79b-ee5e-4c7e-8d2b-1e2b284611ad,2d83f79b-ee5e-4c7e-8d2b-1e2b284611ad.compressed_content.json,
Europe/Warsaw,1657490400000,2022-07-18 12:41:35.352,2022-07-18 12:41:12.991,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,3ccb374c-07dd-44a9-a5aa-a7fb16390936,3ccb374c-07dd-44a9-a5aa-a7fb16390936.compressed_content.json,
